uid,text,label_yn
macd_tel_train_0,"కరోనా డార్లింగ్,మా నుండి నువ్వు విడిపోయిన, మమ్మల్ని వొదిలేసి పోయిన,నువ్వు ఎక్కడ వున్నా మేం నిన్ను మాత్రం అసలు మర్చిపోము.   నువ్వు ఎక్కడ వున్నా తొందరగా సచ్చిపోవాలి అని మనసు పూర్తిగా కోరుకుంటున్నాను...  మిస్ యు కరోనా డార్లింగ్ 😔😔😔",1
macd_tel_train_1,విడు ఈపాటికి ఎంత మంది అమ్మయిలని దేగిండో,0
macd_tel_train_2,నీ sandulu కావాలి,0
macd_tel_train_3,నా కొడకా పవన కళ్యాణ్ వెంట్రుక కూడా పికలేవు,0
macd_tel_train_4,నా పరిస్థితి అంతే,1
macd_tel_train_5,"టైగర్ అలియాస్ మై సన్ నీ అమ్మ పూకు లో కాకినాడ కాజాలు వేసి తియ్యగా నాకుతూ దెంగుతా ,😁",0
macd_tel_train_6,మేడం నాకు ఒక కోరిక క్షమించాలి బుల్లెట్ బండి సాంగ్ చేయండి మేడం ప్లీజ్,1
macd_tel_train_7,ఈటెల ఈటే గుచ్చుకొని గిల గిల కొట్టుకుంటున్న గెల్లు😂😂😂 గేల్లు నీ చీల్చి కెసిఆర్ వైపు దూసుకెళ్తున్న ఈటె 😂😂😂😂,0
macd_tel_train_8,సుధీర్ లంజాకొడకా కుశాల్ లంజాకొడకా ఇద్దరు లంజలు పనికి పోయారా😀😀,0
macd_tel_train_9,"""ఉకో రెవ నువ్వు శ్రేయ లంజ కి బలుపు ఎక్కువగానే ఉంది""😊",0
macd_tel_train_10,ఒరేయ్ బషీర్ ఈ నాలుగు కోట్ల మంది లో నీకు మంచి మంచిగా ఉన్నా ఉన్నవారు దొరక రా వేస్ట్ గా అంత వెతుక్కుంటూ వెళ్తావు,0
macd_tel_train_11,నీకు అంత సీన్ లేదు లే అన్ని జారిపోయి ఉన్నాయి,0
macd_tel_train_12,ఎర్రి పూకా డిలీట్ చెయ్,0
macd_tel_train_13,సరే సరేలే అక్క జాగ్రత్త 🚶,1
macd_tel_train_14,టాటా సండ్ల మీద వేయించుకున్నారు మీ ఆయన గారు ఏమన్నారు,0
macd_tel_train_15,సూపర్ హిట్ అవుతుంది అత్తయ్య,1
macd_tel_train_16,ఏం పాటలు ఈ పిచ్చి పాటలు,0
macd_tel_train_17,ప్రభ లంజే నీ పిచ్చి తల్లిని బట్టలు లేకుండా బెడ్ రూమ్ లో తీసుకొని పోయి పంగా చాపి దాని కర్రి లేత పూకులో నా మొడ్డని సుల్లిని పెట్టి  దెంగిస్తా 👉😆,0
macd_tel_train_18,ఎయ్ బిడ్డ ఇది న మొడ్డ,0
macd_tel_train_19,నీ అమ్మ సళ్ళు నీ నిలపెట్టి పిసుకుత,0
macd_tel_train_20,సుధీర్ లంజకోడక నీ తల్లి పూకులో పోర్న్ వీడియోస్ చూస్తూ పూకులో గోరు పెట్టి గెలుకుతా,0
macd_tel_train_21,జాతకం చెప్పబడును ప్రేమ సమస్యలు సంతాన సమస్యలు భార్యాభర్తల సమస్యలు కోర్టు సమస్యలు ఈ సృష్టిలో దైవ శక్తి ఉన్నది ఎంత నిజమో దుష్ట శక్తి ఉన్నది కూడా అంతే నిజం నమ్మకంతో కాల్ చేయండి ఎటువంటి సమస్యకైనా పరిష్కారం చేయబడును సెల్:☎️  <number> 📞rieoeo,0
macd_tel_train_22,నా తెలుగింటి అక్కా చెల్లెళ్ళకు ఆడపడుచులందరికి అన్న తమ్ముళ్ళకు మిత్రునితో కు సంక్రాంతి శుభాకాంక్షలు Good morning everyone 🥰🥳🥳🎊🎉🌹🌹🌹,1
macd_tel_train_23,"ఇలా ఉంటే చాలా బాగున్నావు బుజ్జి,, అసలు దేవుడు ఇంకొక రెండు కళ్ళు ఇస్తే బాగుండు అనిపిస్తుంది.అంత బాగున్నావు బంగారు🥰🥰🥰",1
macd_tel_train_24,మనకు తెలియని విషయాలను మనకు అర్థం అయినట్లు చెప్పే వ్యక్తులను గురువులు అంటాం మనలను చక్కని దారి లో పంపే వ్యక్తులలో గురువులు కూడా ఉన్నారు🤗... హ్యాపీ టీచర్స్ డే శుభాకాంక్షలు,1
macd_tel_train_25,యార దే సిర్ర దే ఉత్తే ని....జట్టు తెర క్రే రాజ్ నీ,0
macd_tel_train_26,"TDp fade out ,ఏదో తమ ఉనికిని గుర్తుచేయడానికి ఈ బంద్ ప్రయత్నం ..ఆ ప్రభావం 0.01% కూడా లేదు waste of time వృధా ప్రయాస నయానో బయానో ysrcp inko 10 yrs ilage ఉంటది,so hope u understood rest తీసుకోండి family తో hpy గా ☺️",0
macd_tel_train_27,తొక్కు నువ్వు తొక్కు అంతే తగ్గేదెలా పుష్ప డైలాగ్,1
macd_tel_train_28,గుద్ధ బలిసి కొట్టుకుంటున్నావ్ లంజా,0
macd_tel_train_29,సల్లు ఎంత బావున్నాయో ఇలాంటి అమ్మాయి నాకు గంట కావాలి,0
macd_tel_train_30,నీ ఆమ్మ సళ్ళు  పిసికే దానిలో పనీ చేస్తున్న ... లంజ కొడకా దా నువ్వు కూడ,0
macd_tel_train_31,జాతకం ప్రేమ సమస్యలు పెళ్లి సమస్యలు సంతాన సమస్యలు భార్యాభర్తల సమస్యలు కోర్టు సమస్యలు చెడు ప్రయోగాలు ఎటువంటి సమస్యకైనా పరిష్కారం చేయబడును మా సెల్ నెంబర్:📞94 9O 34 15 12📱☎cncmx,0
macd_tel_train_32,జ్యోతిష్యం అంటే ఏంటో తెలుసా రా,0
macd_tel_train_33,నోట్లో పెడతా కొత్తగా వచ్చింది నీకు,0
macd_tel_train_34,అరె ఓ పిచ్చి ముండ కొడుకు వీడియో చేయకు,0
macd_tel_train_35,మీరు సూపర్ అమ్మ👌👌👌,1
macd_tel_train_36,Akka ani పిలుస్తున్నారు అందరూ అందుకు ఏడుస్తున్నవా నేను పిలవనులే.,1
macd_tel_train_37,సూపర్ డూపర్ హిట్,1
macd_tel_train_38,అసలు ఇ ఎలక్షన్స్ వల్ల ఏంటి ఉపయోగం...🙄🤔,1
macd_tel_train_39,నువ్వు రాజకీయాల్లోకి వచ్చే ఈ పిచ్చి గొడవలన్నీ అంతకుమించి ఏమీ లేదు నువ్వొచ్చాకే గుండ రాజ్యం అయింది,0
macd_tel_train_40,దేవుడా ఇంకా ఎప్పుడు చూసుండరు గ్యాస్ బండ్లు కట్టి వుందా చూస్తూ వుండాలి లేదా అని ఎప్పుడూ అదే పనిగా చూస్తూ ఉంటే ఇలా జరుగుతుంది 🤔,1
macd_tel_train_41,ఇప్పుడు చుడుర నువ్వు ఎంత అప్పు చేశావో ముండా హా,0
macd_tel_train_42,రూం కి వస్తది అంట ఈ ఫేక్ పు__కు లాన్ _జ 😑,0
macd_tel_train_43,నీ అమ్మని దేంగా అక్కడ 4 గు కాళ్ళ ఎక్కడ ఉన్నాయ్ రా లంజా కొడకా,0
macd_tel_train_44,వీళ్లంతా మీ ఫ్యామిలీ మెంబెర్స మేడం 🥰🥰👌👌,1
macd_tel_train_45,🌹🌹🌹నిజగా నువ్వు సాంగ్ పాడినట్లుగా ఉంది ❤❤❤❤❤,1
macd_tel_train_46,"రాష్ట్రంలో టీడీపీ నేతల నివాసాలు, కార్యాలయాలపై దాడుల నేపథ్యంలో పార్టీ జాతీయ ప్రధాన కార్యదర్శి నారా లోకేశ్ (nara lokesh) తీవ్రస్థాయిలో స్పందించారు. ఎన్నాళ్లు ఇలా ఇంట్లో దాక్కుని నీ కుక్కలతో దాడి చేయిస్తావు... నువ్వే రా తేల్చుకుందాం! అంటూ సవాల్ విసిరారు.  ""ఇప్పటివరకు ముఖ్యమంత్రి అని గౌరవించేవాడ్ని. నీ వికృత, క్రూర బుద్ధి చూశాక సైకో, శాడిస్ట్, డ్రగ్గిస్ట్ జగన్ అని అంటున్నాను. నువ్వూ, నీ బినామీలు డ్రగ్స్ దందా చేస్తారు... ఆ విషయాలపై నిలదీసే టీడీపీ నేతలపై దాడులకు పాల్పడతావా?"" అంటూ ఆగ్రహం వ్యక్తం చేశారు.",0
macd_tel_train_47,నేను పెట్టను phe pandi 🐷🤣😛😛😛😜😜,0
macd_tel_train_48,ఘోస్ట్ లేబర్ ఆంటీ పూకు కొంచం నల్లగా ఉంటది భయపడకండి ప్రేక్షకులు 😆😆,0
