uid,text,label_yn
ltrc_tel_train_0,"చివర్లో జోఫ్రా ఆర్చర్‌ భారీగా షాట్లు కొట్టి జట్టును విజయతీరాలు చేర్చాడు.
",0
ltrc_tel_train_1,సమంత అతడికి తొలిసారి జోడీగా నటిస్తోంది.,0
ltrc_tel_train_2,2018లో ఈ కరీబియన్‌ ప్రిమియర్‌ లీగ్‌లో ట్రిబాగో నైట్‌ రైడర్స్‌ విజేతగా నిలిచింది.,0
ltrc_tel_train_3,వన్డేలో రాణించినా భారీ స్కోరులు చేయలేకపోయాడు.,0
ltrc_tel_train_4,సరైన ఏరియాలో బౌలర్లు బంతులు వేశారు.,0
ltrc_tel_train_5,"గతంలో కంటే మోడీకి ఎక్కువ వచ్చే అవకాశమే లేదని అందరూ ఫీలవుతుంటే.
",0
ltrc_tel_train_6,"అయితే, ఓటమిపై పవన్ కల్యాణ్ నిరాశ చెందక్కర్లేదని సూచించారు మాజీ ఎంపీ ఉండవల్లి అరుణ్‌కుమార్.
",0
ltrc_tel_train_7,సంగీత దర్శకుడి రీ ప్లేస్‌మెంట్‌పై ఎలాంటి ప్రకటన లేదు.,0
ltrc_tel_train_8,"ఓట్ల లెక్కింపు కోసం అన్ని ఏర్పాట్లు పూర్తి చేశామని ఆంధ్రప్రదేశ్‌ రాష్ట్ర ఎన్నికల ప్రధానాధికారి గోపాలకృష్ణ ద్వివేదీ చెప్పారు.
",0
ltrc_tel_train_9,"నేడు విడుదలవుతున్న చిత్రం కోసం చాలా కష్టపడ్డామని ఇప్పటికే సల్మాన్, కత్రినాలు వివిధ సందర్భాల్లో చెబుతూ వచ్చారు",0
ltrc_tel_train_10,కేప్‌టౌన్‌ : శ్రీలంకతో జరుగుతున్న వన్డే సిరీస్‌లే దక్షిణాఫ్రికా క్లీన్‌ స్వీప్‌ చేసింది.,0
ltrc_tel_train_11,"ఆ ఫ్లకార్డులో తనకు సాయం చేయాలని కోరాడు.
",0
ltrc_tel_train_12,అనంతరం యూసుఫ్‌ పఠాన్‌ బరిలోకి దిగి వార్నర్‌కు సహకరిస్తుండగా బౌండరీలు బాదుతూ చివరి ఓవర్‌లో ఫోర్‌ కొట్టి శతకం సాధించాడు.,0
ltrc_tel_train_13,ఆ దేశ మాజీ క్రికెటర్‌ షోయబ్‌అక్తర్‌ సైతం తన యూట్యూబ్‌ ఛానెల్‌లో పాకిస్థాన్‌ ఆటగాళ్ల తప్పుల్ని ఎండగట్టాడు,0
ltrc_tel_train_14,"రేపు ఉదయం 11:49 గంటలకు ఈ కార్యక్రమం ఉంటుంది.
",0
ltrc_tel_train_15,అందుకే కేవలం 23 మంది ఎమ్మెల్యేలే టీడీపీలో గెలిచారన్నారు,0
ltrc_tel_train_16,ధోనీతో కలిసి జట్టును గట్టెక్కించే ప్రయత్నం చేసిన కృనాల్‌ పాండ్య(20) పరుగులకే కీపర్‌కు క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.,0
ltrc_tel_train_17,"ఐపీఎస్ అధికారి గౌతం సవాంగ్‌ గారితో మాట్లాడుతూ:రాయలసీమ 4 జిల్లాలకు స్ట్రిక్ట్, డైనమిక్‌, యంగ్‌, ఎనర్జిటిక్‌ ఐపీఎస్‌లను రెడీ చేయమని   ఇకపై రాయలసీమలో అసాంఘిక క‌లాపాలు  జరగకుండా చూడాల‌ని ఆదేశాలిచ్చారని తెలుస్తోంది.
",0
ltrc_tel_train_18,సీఎంగా బాధ్యతలు స్వీకరించిన తర్వాత నిర్వహించిన తొలి సమీక్షలో పోలవరానికి అత్యంత ప్రాధాన్య ప్రాజెక్టుగా  తేల్చి చెపుతూ నిర్మాణం వేగవంతం చేయాలని జగన్‌ అధికారుల్ని ఆదేశించిన విషయం తెలిసిందే,0
ltrc_tel_train_19,"అందులో భాగంగా తొలిరోజు సోమ‌వారం ఆలయ క్షేత్ర పాలకుడు ఆంజనేయస్వామి గుడి (రావిచెట్టు వద్ద) ఆలయ కార్యనిర్వహణధికారి వి.
",0
ltrc_tel_train_20,"మనీష్‌కుమార్‌ రెడ్డి, వినీత్‌రెడ్డి తీవ్రంగా గాయపడ్డారు",0
ltrc_tel_train_21,"హైదరాబాద్, జూన్ 10: రానున్న వర్షాకాలంలో హరితహారం కార్యక్రమంలో సింగరేణి ఏరియాలో కోటి మొక్కలు నాటాలని లక్ష్యంగా పెట్టుకున్నట్లు సింగరేణి యాజమాన్యం పేర్కొం ది",0
ltrc_tel_train_22,ప్రత్యేక ప్యాకేజీ తమకు అవసరం లేదని హోదానే కావాలని అన్నారు,0
ltrc_tel_train_23,అంటే మొత్తంగా పెట్టుబడిని మైనస్‌ చేసుకుని చూసుకున్నా 125 కోట్ల రూపాయలు లాభం వచ్చిందన్న మాట.,0
ltrc_tel_train_24,"ఈ క్రమంలో హీరోతో తండ్రికున్న రిలేషన్‌ సరిగా ఎస్టాబ్లిష్‌ అవకుండానే కథలో రెండు, మూడు సీన్లు ఆక్రమించింది",0
ltrc_tel_train_25,ఐతే రజనీ బిజెపి గాలాని ఎంత వరకూ చిక్కుతారో అన్నది ఇక్కడ ప్రశ్న,0
ltrc_tel_train_26,"కోస్తాంధ్రకే కాదు, రాయలసీమకూ ఇబ్బందే.
",0
ltrc_tel_train_27,పటిష్ట బ్యాటింగ్‌ లైనప్‌ ఉంది’ అని గుంగూలీ పేర్కొన్నాడు.,0
ltrc_tel_train_28,అయితే ఈ సీన్ల కలిపివేత ఇప్పుడు ఉండదు.,0
ltrc_tel_train_29,"తర్వాత కూడా దూకుడుగా ఆడిన రోహిత్‌,సెంచరీకి మరో 40పరుగులు జోడించి హసన్‌ బౌలింగ్‌లో వెనుదిరిగాడు.",0
ltrc_tel_train_30,ఇక నకిలీ విత్తనాల పట్ల జగన్ సీరియస్ అయ్యారు,0
ltrc_tel_train_31,"ఐతే గ్రాండ్‌హోమ్‌ 37, బర్మన్‌ 19, ఉమేశ్‌ 14ల పుణ్యమా అని బెంగళూరు 100 దాటి కాస్త పరువు నిలుపుకుంది",0
ltrc_tel_train_32,"ఆధిక్యత ఎంత అనేదే తేలాలన్నారు.
",0
ltrc_tel_train_33,"చిత్ర కథ, అందులో నా పాత్ర, కొత్తగా అనిపించిన క్యారెక్టరైజేషన్ నచ్చి ప్రాజెక్టుకు ఓకే చెప్పాను",0
ltrc_tel_train_34,వారి జట్టు సమతూకంతో ఉంది.,0
ltrc_tel_train_35,మ్యాన్‌ ఆఫ్‌ ద మ్యాచ్‌  హరీశ్‌ 48; 22 బంతుల్లో మెరిశాడు,0
ltrc_tel_train_36,తర్వాత ద్విచక్ర వాహనంపై వేచి ఉన్న మరో వ్యక్తితో కలిసి పరారయ్యాడు,0
ltrc_tel_train_37,"మురిసిన పంజాబ్‌.
",0
ltrc_tel_train_38,రొమాంటిక్ ఎంటర్‌టైనర్‌లోనే ఫన్ ఎలిమెంట్స్ మిళితం చేసి కథ చూపించబోతున్నా అన్నారు,0
ltrc_tel_train_39,"ఇప్ప‌టికే రాష్ట్ర ప్ర‌భుత్వానికి భారీ ఎత్తున కేంద్ర సాయం అందుతున్న విష‌యాన్ని ఎందుకు ప‌రిగ‌ణ‌లోనికి తీసుకోర‌ని నిల‌దీసారు.
",1
ltrc_tel_train_40,గంగూలీ ఎంత మొత్తుకున్నా చాలా మ్యాచుల్లో అతడి సేవలను వినియోగించుకోకుండా బెంచీకే పరిమితం చేస్తున్నారు.,0
ltrc_tel_train_41,"ఈ రెండు ప్రాజెక్టులు ఫైనలైజ్‌ అయితే అవికా మళ్ళీ టాలీవుడ్‌లో జోరుగా దూసుకుపోవడం ఖాయం.
",0
ltrc_tel_train_42,"అయితే జట్టు స్కోరు 71 వద్ద ధావన్‌ను కీమో పాల్‌ పెవిలియన్‌కు చేర్చాడు.
",0
ltrc_tel_train_43,అగ్రహీరో మహేష్‌ ఇందులో ఐదారు గెటప్‌లలో కనిపించబోతున్నాడని.,0
ltrc_tel_train_44,టీవ్యాలెట్‌ ద్వారా వివిధ శాఖలను అనుసంధానం చేశారు,0
ltrc_tel_train_45,అయితే ఈ సినిమాని అడ్డుకోవాల‌ని మంచు విష్ణు భావిస్తున్న‌ట్టు స‌మాచారం,0
ltrc_tel_train_46,"అయితే ఇప్ప‌టి వ‌ర‌కు ఫెడ‌ర‌ల్ ఫ్రంట్‌లో టిఆర్ ఎస్ వైసీపిలు మిన‌హా ఎలాంటి పార్టీ చేర‌ని ద‌శ‌లో 150 స్ధానాలు ఈ ఫ్రంట్‌కు ఎలా సాధ్య‌మ‌న్న విష‌యం సోష‌ల్ మీడియాలో చ‌ర్చ‌నీయాంశంగా న‌డుస్తోంది.
",0
ltrc_tel_train_47,"జమ్మూకాశ్మీర్‌ రాష్ట్రంలోని షోపియాన్‌ జిల్లా హింద్‌సితాపొరాలో ఎన్‌కౌంటర్‌ జరిగింది.
",0
ltrc_tel_train_48,త్వరలో చేయబోయే ప్రాజెక్ట్స్‌ లో కూడా సాయి శ్రీనివాస్‌ ఇదే లుక్‌లో కనిపించ నున్నాడు.,0
ltrc_tel_train_49,"ఈ ఉత్తరాధికార బాధ్యతలను కిరణ్ కుమార్‌ కు అప్పగించామని స్వరూపానంద వెల్లడించారు.
",0
ltrc_tel_train_50,"రంజాన్ ఉపవాసం పేదవారి ఆకలి విలువ ను తెలియజేసి, దైవభీతి ని పెంపొందిస్తుందన్నారు.
",0
ltrc_tel_train_51,అదే రాత్రి నందిగామకు తిరుగు ప్రయాణమైన వారిద్దరూ కొన్ని గంటలకే పట్టాల మధ్య శవాలై పడి ఉండటాన్ని ఆదివారం ఉదయం హైదరాబాద్‌ నుంచి మహబూబ్‌నగర్‌ వెళుతున్న గూడ్స్‌ రైలు డ్రైవర్‌ గమనించారు,0
ltrc_tel_train_52,హర్మన్‌ప్రీత్‌ కెప్టెన్సీ నిర్వహించనున్న జట్టులో ఈ ఏడాది అద్భుత ఫాంలో కొనసాగుతోన్న వెటరన్‌ మిథాలీ రాజ్‌తో పాటు సృతీ మంథానా ఎంపికయారు.,0
ltrc_tel_train_53,"ఏపీ అసెంబ్లీలో రాష్ట్రానికి ప్రత్యేక హోదా అంశం అధికార, విపక్షాల మధ్య వాడీవేడి చర్చకు దారితీసింది",1
ltrc_tel_train_54,"ఎలవెనిల్‌, అపూర్వి, మేఘనలతో కూడిన భారత జట్టు అగ్రస్థానంలో నిలిచింది",0
ltrc_tel_train_55,"సాయంత్రం అమరావతికి వెళ్లే అవకాశం ఉంది.
",0
ltrc_tel_train_56,ఇలా చాలామందితో కలిసి పని చేసే అవకాశం రావడం నా అద _x005F_x007f_ష్టం” అని చెప్పింది.,0
ltrc_tel_train_57,"మంచి సబ్జెక్ట్‌, తెలుగు ప్రేక్షకులందరికీ బాగా నచ్చుతుంది అని అన్నారు.",0
ltrc_tel_train_58,హీరోయిన్‌గా ప్రస్తుతం మంచి డిమాండ్‌ ఉన్న కన్నడ భామ రష్మిక మందన్ననే ఓకే చేసుకోగా సంగీతం కోసం స్టార్‌ హీరోలకు తప్ప ఇంకెవ్వరికీ అంత సులభంగా దొరకని దేవిశ్రీ ప్రసాద్‌నే సెట్‌ చేసుకుంటున్నారు.,0
ltrc_tel_train_59,"తిరుప‌తిలోని అలిపిరి – చెర్లోప‌ల్లి రోడ్డు అభివృద్ధి ప‌నులు త్వ‌ర‌త గ‌తిన పూర్తి చేయాల‌ని ఇంజినీరింగ్ అధికారుల‌ను ఆదేశించారు.
",0
ltrc_tel_train_60,"పోలవరం ప్రాజెక్టు అంచనాలను టీడీపీ ప్రభుత్వం ఇష్టారాజ్యంగా పెంచేసిందని తెలిపారు.
",0
ltrc_tel_train_61,అంటూ దర్శకుడు హరీశ్ శంకర్ సోషల్ మీడియాలో ఓ పోస్టర్ పోస్ట్ పెట్టాడు,0
ltrc_tel_train_62,16 ఏళ్ల 157 రోజుల వయసున్న బర్మన్‌ హైదరాబాద్‌తో మ్యాచ్‌లో అరంగేట్రంచేసి,0
ltrc_tel_train_63,"ఇతర ఏ సౌకర్యాలు పొందలేరు.
",0
ltrc_tel_train_64,"ఈవీఎంలో డేటా అంతా మైక్రో కంట్రోలర్‌ వద్ద ఉంటుంది,ఇక్కడ నిక్షిప్తమైన డేటాను తుడిచివేసి, రీప్రోగ్రాం చేయవచ్చునని ప్రతిపక్షాలు ఆరోపిస్తున్నాయి",0
ltrc_tel_train_65,ఈసారి ఆ బాధ్య‌త శ‌ర్వానంద్ తీసుకున్న‌ట్టున్నాడు,0
ltrc_tel_train_66,"బుధ‌వారం  తూర్పుగోదావరి జిల్లా, రంపచోడవరం నియోజకవర్గ పరిధిలోని జిల్లా పరిషత్ స్కూళ్లలో సమస్యలు పరిష్కరించాలని కోరుతూ గంధం చంద్రుడు ని క‌లునుకుని శాసన సభ్యురాలు నాగులపల్లి ధనలక్ష్మి    వినతిపత్రం అందజేశారు.
",0
ltrc_tel_train_67,రాత్రి వేళల్లో నిర్ధేశిత సమయం 200 నిమిషాల కంటే ఎక్కువ సేపు మ్యాచ్‌లు జరుగడంతో బీసీసీఐ సమయ నియంత్రణ కోసం ఈ నిర్ణయం తీసుకున్నట్లు బీసీసీఐ వర్గాలు తెలిపాయి.,0
ltrc_tel_train_68,"అతడి పవర్‌ హిట్టింగ్‌, నిలకడ, గెలిపించాలన్న తపన, పోరాట పటిమ అసాధారణం.",0
ltrc_tel_train_69,"ఈ విజయంతో భారత్‌, మూడు విజయాలు ఒక డ్రాతో టేబుల్‌ తొలి స్థానంలో నిలిచింది.",0
ltrc_tel_train_70,"పంజాబ్‌ బౌలర్లలో ముజీబ్‌, షమీ, అశ్విన్‌లకు చెరో వికెట్‌ దక్కింది.
",0
ltrc_tel_train_71,లక్ష్మీని అరెస్టు చేయవద్దని హైకోర్టు ఆదేశాలు జారీ చేసింది,0
ltrc_tel_train_72,ఎస్సైతో వాగ్వివాదానికి దిగారు,0
ltrc_tel_train_73,"ఆసియా లో షాంఘై కాంపోజిట్‌ ఇండెక్స్‌ 0:56శాతం, హాంగ్‌శేంగ్‌ 1:73శాతం,నిక్కీ 0:35శాతం కాస్పి 0:14శాతం నష్టపోయాయి",0
ltrc_tel_train_74,"వాటితో స‌మానంగా రాణించాలంటే, ఈసారి క‌ప్పు వేట‌లో చివ‌రి వ‌ర‌కూ నిల‌బ‌డాలంటే మ‌న బ‌లాల‌కు ప‌దును పెట్టి, బ‌ల‌హీన‌త‌ల్ని అధిగ‌మించాల్సిందే",0
ltrc_tel_train_75,బంధువులు గురువారం రాత్రి ప్రొద్దుటూరు ప్రభుత్వాసుపత్రికి తీసుకురావడంతో విషయం బయటకు పొక్కింది,0
ltrc_tel_train_76,"ఈవీవీగారి సినిమాలు, క _x005F_x007f_ష్ణారెడ్డిగారి సినిమాలు జంధ్యాలగారి సినిమాలను చూస్తే అన్నీ వర్గాల ప్రేక్షకులు నవ్వుతూనే ఉండేవారు.",0
ltrc_tel_train_77,మొత్తం 36 మ్యాచ్‌ల్లో 34 ఇన్నింగ్స్‌ ఆడిన స్టార్‌ బ్యాట్స్‌మన్‌ 1632 పరుగులు పూర్తిచేశాడు.,0
ltrc_tel_train_78,"మరి విశ్వసనీయత అంటూ పదేపదే చెప్పే జగన్ ఇపుడు దీన్ని ఏమంటారో చెప్పాలి.
",1
ltrc_tel_train_79,"ఇందులో నగదు ఒక కోటి ఒక లక్ష పది వేల రూపాయలు లభించగా 110 గ్రాముల బంగారం, 630 గ్రాముల వెండి తో పాటు యూఎస్ఏ డాలర్లు 50,కతర్ సెంట్రల్ బ్యాంకు 11రియల్స్ ,సెంట్రల్ బ్యాంక్ ఆఫ్ సైరియా 1100 పౌండ్లు,ఆస్ట్రేలియా20డాలర్లు,కెనడా 105 డాలర్లు,సెంట్రల్ బ్యాంక్ ఆఫ్ ఒమన్ 200,యు ఏ ఎస్ సెంట్రల్ బ్యాంక్ 10 ధీరహంస్ హుండీలు ద్వారా లభించాయి.
",0
ltrc_tel_train_80,‘నవ్వే నువ్వు ’ అని సాగే ఈ పాటకు మంచి స్పందన లభించింది.,0
ltrc_tel_train_81,"ఆయన హీరో నానికి నచ్చ చెప్పి, డేట్ లు ఇప్పించే పనిలో పడ్డారు",0
ltrc_tel_train_82,"మరి కాసేపటికే ఆదుకుంటారు అనుకున్న కోహ్లి(3), మొయిన్‌ ఆలీ(2) వెనుతిరగ్గా నబీ తన నాలుగో వికెట్‌ రూపంలో దూబే(5)ను ఔట్‌ చేయడంతో బెంగళూరు 35 పరుగులకే 6 వికెట్లు కోల్పోయింది.",0
ltrc_tel_train_83,"తిరుపతిలోని శ్రీ గోవిందరాజస్వామివారి వార్షిక బ్రహ్మోత్సవాల్లో భాగంగా మే 19వ తేదీన ఆదివారం ఉదయం 6 నుండి 10 గంటల వరకు శ్రీ కపిలేశ్వరాలయంలోని ఆళ్వార్‌ తీర్థంలో స్నపనతిరుమంజనం, చక్రస్నానం జరుగనుంది.
",0
ltrc_tel_train_84,"ఈ నిర్ణయంతో గృహ, వాహన రుణాలపై వడ్డీభారం తగ్గనుంది",0
ltrc_tel_train_85,అది నిర్ధారణగా ఎవరూ చెప్పలేదు కానీ కాస్త బలంగా ఈ న్యూస్‌లో ఫిలిం నగర్‌ ప్రచారంలో నలిగింది.,0
ltrc_tel_train_86,"ఈ సందర్భంగా కేసీఆర్ వారికి శుభాకాంక్షలు తెలిపారు.
",0
ltrc_tel_train_87,"నైట్ ఎఫెక్ట్స్, థ్రిల్స్ మొత్తంగా ఆడియన్స్‌కి  విజువల్ ట్రీట్",0
ltrc_tel_train_88,ఆయనపై ఇలాంటి ఆరోపణలు ఎప్పుడూ రాలేదు.,0
ltrc_tel_train_89,ఆట 67 నిమిషంలో కొరియా గోల్‌ చేసింది.,0
ltrc_tel_train_90,అయితే ఇందులో విలన్‌గా సీరియస్ చేయడం ఈజీ కానీ కామెడీ చేయడమే కష్టం,0
ltrc_tel_train_91,మరోవైపు ఇప్పటికే నాలుగుసార్లు ప్రపంచకప్‌ టోర్నీకి వేదికైన ఇంగ్లండ్‌ 20 ఏళ్ల తర్వాత ఐదోసారి మెగా టోర్నీకి ఆతిథ్యం ఇస్తోంది.,0
ltrc_tel_train_92,రిక్రియేషన్ పేరుతో వుడాతో పర్మిషన్ తీసుకుని నివాసాలు నిర్మించుకున్నారు,0
ltrc_tel_train_93,అతను చివరగా నటించిన ‘వేలైక్కారన్‌’ కూడా సూపర్‌ హిట్టయింది.,0
ltrc_tel_train_94,"ఆర్టీసలో ఎలక్ట్రికల్ బస్సులు ప్రవేశ పెడితే ఎలాంటి పరిణామాలు చోటు చేసుకుంటాయి.
",0
ltrc_tel_train_95,"తొలిరోజు ఆటముగిసే సమయానికి ఏడు వికెట్ల నష్టానికి 295 పరుగులు చేసిన విండీస్‌ రెండోరోజు కేవలం 16 పరుగులు మాత్రమే జోడించగలిగింది.
",0
ltrc_tel_train_96,రాబోవు రోజుల్లో నాటిన ప్రతి మొక్క పండ్లు ఇచ్చే విధంగా ప్రణాళికను రూపొందించామన్నారు,0
ltrc_tel_train_97,ఇక అక్కడ నుంచి విండీస్‌ వికెట్ల పతనం మొదలైంది.,0
ltrc_tel_train_98,"విశాఖ క్రీడలు, న్యూస్‌టుడే: బీచ్‌ వాలీబాల్‌ ప్రపంచ టూర్‌ టోర్నమెంట్‌ గురువారం విశాఖపట్నంలో ఆర్‌కే బీచ్‌లో ఆరంభమైంది",0
ltrc_tel_train_99,సినిమా విజయం సాధించడానికి ఇలాంటి నీచమైన గిమ్మిక్కులు చేయాల్సిన అవసరం లేదు.,1
ltrc_tel_train_100,ఇక కెప్టెన్‌గా సర్ఫరాజ్‌ పూర్తిగా విఫమైయ్యాడు.,0
ltrc_tel_train_101,"ఎఫ్‌బిఐ ఆఫీసర్‌ అంటూ అభిమన్యు సింగ్‌ చేసే హడావిడి, పక్కన చిదంబరం క్యారెక్టర్‌ వారు చేసే ఇన్వెస్టిగేషన్‌ చూస్తే నవ్వించడానికి ఇన్ని పాట్లా వైట్లా? అనుకోవాల్సి వస్తుంది",0
ltrc_tel_train_102,ప్రాథమిక వ్యవసాయ సహకార సంఘం పీఏసీఎస్ ల ద్వారా ఎరువులు అందిస్తారు,0
ltrc_tel_train_103,వీరిపై కర్రలతో దాడిచేయడంతో రాజప్ప అక్కడికక్కడే మృతిచెందారు,0
ltrc_tel_train_104,పట్టుకుని వాసన గమనిస్తారు,0
ltrc_tel_train_105,భర్తతో కలిసి పుట్టింటికి వచ్చింది,0
ltrc_tel_train_106,"ఒత్తిడిలో ఎలా ఆడాలన్నది మిథాలీ నుంచి నేర్చుకుంటునట్లు చెప్పుకొచ్చింది.
",0
ltrc_tel_train_107,పంచభూతాల్ని సూచించేలా పొల్లాచ్చి వారణాసి బళ్లారి ఇలా వేర్వేరు ప్రాంతాల్లో ఇప్పటిదాకా ఎవ్వరూ చేయనంత భారీ సన్నివేశాలు రూపొందించామని శ్రీనివాస్‌ చెప్పాడు.,0
ltrc_tel_train_108,"చంద్రబాబు రెండువేల కోట్ల ఇన్ ఫుట్ సబ్సిడీని రైతులకు ఇవ్వలేదని, రుణమాఫీ మీద గత ప్రభుత్వం తప్పుడు ప్రకటనలు చేసిందన్నారు.
",1
ltrc_tel_train_109,"బ్యాంకు ఖాతా నంబరు, అది నిలిచిపోయిన పక్షంలో ఏటీఎం కార్డు, ఇతర నంబర్లు చెప్పండంటూ ఆ ముఠా సభ్యులు ఫోన్‌లు చేస్తున్నారు",0
