uid,text,label_yn
macd_hi_train_0,भीड़ में  बहुत  हब्सी मिलेंगे,1
macd_hi_train_1,साले बेवकूफ अपनी मां मक्खियां  तो हटा दें,1
macd_hi_train_2,बुर देदो तो मुह में लंड ले लो तो,1
macd_hi_train_3,कुत्ता वहा है चिल्ला तू क्यों रहा है,1
macd_hi_train_4,चाय नहीं पीता हूं मैं इसी को छोड़ दिया ok,0
macd_hi_train_5,"बैंकों से सरकार का रिश्ता दलाली का है, बड़े बड़े चोरों को लोन दिलाने के एवज में बैंक से भी दलाली लेते है और बड़े लोग से भी",1
macd_hi_train_6,"#पगली 😍 हम तो #बहोत 😎 _शोकीन हैं 👸👈 #तुजे डोली🎠 मे बिठाके 👫 लेके #जाते, पर 👸👈 तेरे 👗 #कपड़े और 💃 #स्टाईल 👀 देखके 👩 मां केहेगी 😋 #हरामखोर 😍👈 तुझे 👸 _बहु लाने के लिए कहा था 👰 #Heroine ❌ नहीं !!",1
macd_hi_train_7,ohh my god . यहां इतने सारे चमचे इसका मतलब जलनखोरो की कमी नही है,1
macd_hi_train_8,आप मेरे कमेंट का इतना  इंतजार क्यों करते है,0
macd_hi_train_9,भोसड़ी को बात करने दो,1
macd_hi_train_10,आप बहुत प्यारे हो सनम,0
macd_hi_train_11,हमें   परमात्मा की   भक्ति   करनी    चाहिए   नहीं तो   गधी   बनोगी    sat   saheb  ji🙏🙏,1
macd_hi_train_12,ये बीजेपी वाले बहुत चूतिया है,1
macd_hi_train_13,तुम्हारे पीछे पड़े हैं  बहुत सारे नमूने हैं   किसी का तो फ्रेंड रिक्वेस्ट एक्सेप्ट कर लो😂😂😂😂🤣😂😀😀😀😁😁,0
macd_hi_train_14,तेरि माँ किचुत सालि,1
macd_hi_train_15,सुपर वेरी गुड काला चश्मा,0
macd_hi_train_16,सूचियां इतनी सेक्सी हैं चूत कितनी मस्त होगी तुम्हारी,1
macd_hi_train_17,सुंदर दिसतेस तू नाद खुळा,0
macd_hi_train_18,नाक क्लीन हो जाता क्या ऐसा करने से,0
macd_hi_train_19,कोई भी धक्का मुक्की नहीं करेंगा सभी को गाली देने का बराबर मोका मिलेगा सभी के चाय नाश्ते कि व्यवस्था करता हूं और आशा करता हूं कि सभी नयी गाली देंगे  😂😂😂😂😁😁😁,1
macd_hi_train_20,मजीद मिली एक ना एक दिन,0
macd_hi_train_21,आपने सही कहा।डीएनए जांच करके एक एक भारत में हराम की कमाई खाते पड़े हरामखोर को निकालना चाहिए।,0
macd_hi_train_22,अरे  ओ  क्यूट  बेबी  ताकत  तो  बहुत  से  पोस्टर पर लखाण विचार व्यक्त करके   बिचारेपन दीवाने की  कुछ    टी  बी  पेशंट नहीं   जो  कोशिक कि    थोड़ा  छुपाने कि  कोशीस किधर से  आई  आई   आई आई  करते रहो  कोई    कोशीक  करो       भाई  कांगले नहीं हो     ऐ डा बनके पेड़ा  खाते हो गुड़ मोरनिंग   किसी के  मुंह में  हाथ मत डालो  बात  बुलवाने के रीमेक    बेबी   बबली  बंटी    नाटक कम करो   कटी  कटी कटी   करो   कटी,1
macd_hi_train_23,आजकल बच्चे जवान हो रहे है और कपड़े छोटे हो रहे है इससे बड़े कपड़े तो शायद पांच साल के बच्चे पहनते है आजकल की पीढ़ी को पढ़ने लिखने की जरूरत नही है हरकते तो आप लोग जाहिल.अनपढ़ . गवार  वालो से बदतर करते हो,1
macd_hi_train_24,पूरी नंगी होकर वीडियो बनाओ गीत सब लाइक करेंगे,1
macd_hi_train_25,सत्ता की कुर्सी है कुछ भी क्या सकती है,1
macd_hi_train_26,कितनी गिरी हुई औरत है तुझ में थोड़ी भी शर्म नाम की चीज नहीं है क्या कैसी औरत है तू थोड़ी भी शर्म कर यह सब करके तुम क्या करना चाह रही हो तुम तो करैक्टर लेस औरत हो ही साथ ही तुम सब को बदनाम करना चाहती हो बेशर्म औरत तुम बाजारू औरत हो रंडी हो तुम,1
macd_hi_train_27,हिजाब इसलये धके रहते हो कि कही किसी के साथ मुह मार कर तो नही आई है और सरकार फ्री तो देकर देखो हिंदुस्तान से एक भी हिजाब नही रहेगा जय हिन्द जय भारत 🙏🙏🙏,1
macd_hi_train_28,"आदरणीय फलानी जी   आपके मुबारक पावों के बीच जो दरवाज़ा-ए-जन्नत है , उसमे ये नाचीज़ अपने औज़ार-ए-तबसुम की दाखिला-ए-गचागच की इज़ाज़त चाहता है.. 😝😜😝😜 👉",0
macd_hi_train_29,"तुम बस यही करो , आतंकवादी बनो",1
macd_hi_train_30,"दिल को सबके लिए पत्थर बना के रखा है बस मेरी याद को जेवर बना के रखा है ... !!  जिसको तुम लड़की समझते हो ""जादूगरनी"" है जाने कितनो को कबुतर बना के रखा है ..!!😊",0
macd_hi_train_31,यह तो पहले से टूटा हुआ हैवी झाडू भोसड़ी के,1
macd_hi_train_32,चाय का पैसा मोदी जी देंगे हां ना,0
macd_hi_train_33,बहन की लोहड़ी रंडी,1
macd_hi_train_34,नहीं जी बिल्कुल बुरे नहीं हो आप तो मां के लाडले बेटे हो जो छोड गये जाने दो।❤️❤️,0
macd_hi_train_35,बहुत ही अच्छा प्रदर्शन।,0
macd_hi_train_36,जिसे अच्छी औरत मिल जाती वो आदमी उसकी कभी कदर नही करता है दीदी  पता नही भगवान भी औरतों  की ऐसी किस्मत की यू लिख देता है  के8के8,0
