,Sentence,Hate-Speech
5936,"చివర్లో జోఫ్రా ఆర్చర్‌ భారీగా షాట్లు కొట్టి జట్టును విజయతీరాలు చేర్చాడు.
",no
33633,సమంత అతడికి తొలిసారి జోడీగా నటిస్తోంది.,no
1863,2018లో ఈ కరీబియన్‌ ప్రిమియర్‌ లీగ్‌లో ట్రిబాగో నైట్‌ రైడర్స్‌ విజేతగా నిలిచింది.,no
3982,వన్డేలో రాణించినా భారీ స్కోరులు చేయలేకపోయాడు.,no
4808,సరైన ఏరియాలో బౌలర్లు బంతులు వేశారు.,no
25202,"గతంలో కంటే మోడీకి ఎక్కువ వచ్చే అవకాశమే లేదని అందరూ ఫీలవుతుంటే.
",no
11890,"అయితే, ఓటమిపై పవన్ కల్యాణ్ నిరాశ చెందక్కర్లేదని సూచించారు మాజీ ఎంపీ ఉండవల్లి అరుణ్‌కుమార్.
",no
34641,సంగీత దర్శకుడి రీ ప్లేస్‌మెంట్‌పై ఎలాంటి ప్రకటన లేదు.,no
13366,"ఓట్ల లెక్కింపు కోసం అన్ని ఏర్పాట్లు పూర్తి చేశామని ఆంధ్రప్రదేశ్‌ రాష్ట్ర ఎన్నికల ప్రధానాధికారి గోపాలకృష్ణ ద్వివేదీ చెప్పారు.
",no
27372,"నేడు విడుదలవుతున్న చిత్రం కోసం చాలా కష్టపడ్డామని ఇప్పటికే సల్మాన్, కత్రినాలు వివిధ సందర్భాల్లో చెబుతూ వచ్చారు",no
1781,కేప్‌టౌన్‌ : శ్రీలంకతో జరుగుతున్న వన్డే సిరీస్‌లే దక్షిణాఫ్రికా క్లీన్‌ స్వీప్‌ చేసింది.,no
5749,"ఆ ఫ్లకార్డులో తనకు సాయం చేయాలని కోరాడు.
",no
1731,అనంతరం యూసుఫ్‌ పఠాన్‌ బరిలోకి దిగి వార్నర్‌కు సహకరిస్తుండగా బౌండరీలు బాదుతూ చివరి ఓవర్‌లో ఫోర్‌ కొట్టి శతకం సాధించాడు.,no
10513,ఆ దేశ మాజీ క్రికెటర్‌ షోయబ్‌అక్తర్‌ సైతం తన యూట్యూబ్‌ ఛానెల్‌లో పాకిస్థాన్‌ ఆటగాళ్ల తప్పుల్ని ఎండగట్టాడు,no
14092,"రేపు ఉదయం 11:49 గంటలకు ఈ కార్యక్రమం ఉంటుంది.
",no
23338,అందుకే కేవలం 23 మంది ఎమ్మెల్యేలే టీడీపీలో గెలిచారన్నారు,no
2047,ధోనీతో కలిసి జట్టును గట్టెక్కించే ప్రయత్నం చేసిన కృనాల్‌ పాండ్య(20) పరుగులకే కీపర్‌కు క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.,no
18321,"ఐపీఎస్ అధికారి గౌతం సవాంగ్‌ గారితో మాట్లాడుతూ:రాయలసీమ 4 జిల్లాలకు స్ట్రిక్ట్, డైనమిక్‌, యంగ్‌, ఎనర్జిటిక్‌ ఐపీఎస్‌లను రెడీ చేయమని   ఇకపై రాయలసీమలో అసాంఘిక క‌లాపాలు  జరగకుండా చూడాల‌ని ఆదేశాలిచ్చారని తెలుస్తోంది.
",no
21452,సీఎంగా బాధ్యతలు స్వీకరించిన తర్వాత నిర్వహించిన తొలి సమీక్షలో పోలవరానికి అత్యంత ప్రాధాన్య ప్రాజెక్టుగా  తేల్చి చెపుతూ నిర్మాణం వేగవంతం చేయాలని జగన్‌ అధికారుల్ని ఆదేశించిన విషయం తెలిసిందే,no
11979,"అందులో భాగంగా తొలిరోజు సోమ‌వారం ఆలయ క్షేత్ర పాలకుడు ఆంజనేయస్వామి గుడి (రావిచెట్టు వద్ద) ఆలయ కార్యనిర్వహణధికారి వి.
",no
20660,"మనీష్‌కుమార్‌ రెడ్డి, వినీత్‌రెడ్డి తీవ్రంగా గాయపడ్డారు",no
22100,"హైదరాబాద్, జూన్ 10: రానున్న వర్షాకాలంలో హరితహారం కార్యక్రమంలో సింగరేణి ఏరియాలో కోటి మొక్కలు నాటాలని లక్ష్యంగా పెట్టుకున్నట్లు సింగరేణి యాజమాన్యం పేర్కొం ది",no
24602,ప్రత్యేక ప్యాకేజీ తమకు అవసరం లేదని హోదానే కావాలని అన్నారు,no
30096,అంటే మొత్తంగా పెట్టుబడిని మైనస్‌ చేసుకుని చూసుకున్నా 125 కోట్ల రూపాయలు లాభం వచ్చిందన్న మాట.,no
27907,"ఈ క్రమంలో హీరోతో తండ్రికున్న రిలేషన్‌ సరిగా ఎస్టాబ్లిష్‌ అవకుండానే కథలో రెండు, మూడు సీన్లు ఆక్రమించింది",no
23082,ఐతే రజనీ బిజెపి గాలాని ఎంత వరకూ చిక్కుతారో అన్నది ఇక్కడ ప్రశ్న,no
24941,"కోస్తాంధ్రకే కాదు, రాయలసీమకూ ఇబ్బందే.
",no
4889,పటిష్ట బ్యాటింగ్‌ లైనప్‌ ఉంది’ అని గుంగూలీ పేర్కొన్నాడు.,no
33099,అయితే ఈ సీన్ల కలిపివేత ఇప్పుడు ఉండదు.,no
3652,"తర్వాత కూడా దూకుడుగా ఆడిన రోహిత్‌,సెంచరీకి మరో 40పరుగులు జోడించి హసన్‌ బౌలింగ్‌లో వెనుదిరిగాడు.",no
24027,ఇక నకిలీ విత్తనాల పట్ల జగన్ సీరియస్ అయ్యారు,no
10011,"ఐతే గ్రాండ్‌హోమ్‌ 37, బర్మన్‌ 19, ఉమేశ్‌ 14ల పుణ్యమా అని బెంగళూరు 100 దాటి కాస్త పరువు నిలుపుకుంది",no
