uid,text,label_yn
deepoffense_mr_t2_train_0,राम कदम वागण्यात नाही तर बोलण्यात चुकला  बीजेपी मग अजितदादा कुठे तुमच्या तोंडात मूतले होते का?,1
deepoffense_mr_t2_train_1,हीच का तुमची शिवसेने चि शिकवण... आपली आई म्हणजे दैवत आणि दुसऱ्याची आई म्हणजे रांड... 🤬🤬,1
deepoffense_mr_t2_train_2,हे वाचा गाढवांनो. आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने 2008 साली काय करार केला चीनी कम्युनि…,1
deepoffense_mr_t2_train_3,भक्त आंधळे असतात. मूर्खा ना काही कळत नाही.,1
deepoffense_mr_t2_train_4,१९६६ साली छत्रपती शिवाजी महाराज या जागतिक दर्जाच्या सम्राटाचे नाव (brand) वापरून ज्यांनी  शिव सेना स्थापन केली त्यांची…,1
deepoffense_mr_t2_train_5,भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा   तुम्हाला लाज वाटायला पाहिजे   दळभद्री बिंडोक भ…,1
deepoffense_mr_t2_train_6,शांत राहिले की ही बाळासाहेबांची सेना नाही अन् थोडे अशांत झाले की आतंकी सेना.. त्यांच्या मतावर तेच ठाम नाहीत. मंद भक्त,1
deepoffense_mr_t2_train_7,यांना पोर्टस्टार म्हणणाऱ्या नालायक जातीच्या ला महाराष्ट्रातील विशिष्ट पक्षाचे कार्यक…,1
deepoffense_mr_t2_train_8,मरणार.. लाचारी रक्तात भिणली आहे यांच्या. आरश्यासमोर उभे राहू शकत नाहीत म्हणून त्यांची दळभद्री तोंडे घेऊन आपल्या समोर फडकत असतात.,1
deepoffense_mr_t2_train_9,अरे येड्याहो तुम्ही तर मर्चंट नेव्हीतल्या माणसाला भारतीय नौदलाचा अधिकारी करून टाकले होते मूर्खांहो आणि मुंबई महानगरपालिके…,1
deepoffense_mr_t2_train_10,च्यायला ह्यांना चॅनेल बंद करायचा फतवा काढावा लागतो  शिवसेना आहे की हिजडिसेना  एवढंच आहे तर सोशल मीडि…,1
deepoffense_mr_t2_train_11,तेव्हा पाकिट त्यांच्या तोंडात कोंबलेले असतं,1
deepoffense_mr_t2_train_12,आधी बातमी वाच रे मंद भक्ता  तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय. जरा कमी तों…,1
deepoffense_mr_t2_train_13,भाजप तर नालायक आहेचं. त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे. पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुव…,1
deepoffense_mr_t2_train_14,अरे मादरचोद तुमची औकात काय आहे रे. भोसडीच्यानो कोणी लवडा विचारत नाही तुम्हाला. राजपुत भांडी घासत हो…,1
deepoffense_mr_t2_train_15,हिंदू धर्मात 4 वेद  6 शास्त्र  18 पुराण  60 नीति. 108 उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार वर जातात,1
deepoffense_mr_t2_train_16,हा तमाशा सुरु केला भाजपवाल्यानीं केवळ दळभद्री राजकारण करत बिहार जिंकण्यासाठी .,1
deepoffense_mr_t2_train_17,कारण ती बावळट आहे  आणि continue गरळ ओकतोय तरी मंद लोकांना कळत नाहीय  किंवा कळून सुद्दा तिला support करत आहेत,1
deepoffense_mr_t2_train_18,ठाकरे सरकार अणी संजय राऊत   कंगनने तुम्ची वाट लावुन ताकली आही अणी बाराच तुम्हीलोकांचा तोन्डात तमाचा मर्ला आहे । आत…,1
deepoffense_mr_t2_train_19,भिकारचोट पत्रकार दलाल आहेत साले,1
deepoffense_mr_t2_train_20,म्हणून हे परप्रांतीय लोंढे थांबवा आणि महाराष्ट्रातील नेत्यांनी हिंदी ची चमचेगिरी करन बं…,1
deepoffense_mr_t2_train_21,छान thread लिहिला आहे..पण त्या बावळट माणसांना असले स्पष्टीकरण देण्याची काय गरज? काही झालं तरी फडण…,1
deepoffense_mr_t2_train_22,एकदम मान्य   नाहीतरी ही भिकारचोट मंडळी त्या सिनेमामध्ये आपल्या संस्कृतीचा लिलाव कर…,1
deepoffense_mr_t2_train_23,भिकारचोट मराठी मीडि…,1
deepoffense_mr_t2_train_24,असे बावळट लोकं सत्ताधारी पक्षात आहेत  काय अपेक्षा करणार आपण त्या पक्षाकडून,1
deepoffense_mr_t2_train_25,facts. मंद भक्तांची लोकसंख्या माहित नाही pm care मध्ये आलेला फंड किती माहित नाही? मंद भक्तांचा पगार ४० पै…,1
deepoffense_mr_t2_train_26,मागच्या 2 दिवसापासून बघतोय ह्या युपी बिहारी लोकांना महाराष्ट्र ला शिव्या देताना बघतोय. अरे मादरचोद कुत्र्यांनो तुम…,1
deepoffense_mr_t2_train_27,तुम्ही कंगनाच काय घेऊन बसलात जर मुंबई महानगरपालिकाने प्रत्येक ठिकाणी कारवाई केली तर तुम्ही झाटु लोकं मुंबईत राहु पण ना…,1
deepoffense_mr_t2_train_28,नशीब काही दळभद्री लोक भारत   पाकिस्तान बॉर्डर प्रदेशात…,1
deepoffense_mr_t2_train_29,काही महाराष्ट्र द्रोही गिधाडं आणि त्याच्या सोबतीला काही कावळे महाराष्ट्राला बदनाम करण्याचा…,1
deepoffense_mr_t2_train_30,काँग्रेस वाले सुद्धा मंद आहेत चुकून शिवसेनेच्या नेत्यांची नावे पुढे आली तर कस होईल ह्यांच??,1
deepoffense_mr_t2_train_31,दळभद्री भाट आहे हे  लोक उगाच डोक्यावर घेतात यांना  स्वताच्या फायद्यासाठी सरकारची हांजी  हांजी करणे एवढेच यांचे काम .,1
deepoffense_mr_t2_train_32,• तु आणि महाराष्ट्रात येणाऱ्या इतर भिकारी भैय्यांना आम्ही इथे नाही बोलवले  तुम्ही इथे तुमचे पोट भरायला आले आहा…,1
deepoffense_mr_t2_train_33,किती मोठी गम्मत आहे ना? जेव्हा ह्यांनी मुलींना पळवुन नेण्याची गोष्ट केलेली तेव्हा केंद्र सरकार तोंडात मूग गिळून…,1
deepoffense_mr_t2_train_34,ज्यांचा बाप सकाळच्या पारी बोचा आवळून सार्वजनिक संडासाच्या लाईतन उभा असतो  ते शैणिक सुद्धा आता म्हणायला लागलेत मुंबई…,1
deepoffense_mr_t2_train_35,बीजेपी च्या मंद कार्यकर्त्यांना माहिती आहे आवाज कोणाचा चालतो...एकाचा फक्त डोळा लाल झाला तरी…,1
deepoffense_mr_t2_train_36,कंगणाला संजय राऊत हरामखोर म्हणाला होता  तेव्हा यांच्या तोंडात  मावा  होता.,1
deepoffense_mr_t2_train_37, फडणवीस सरकार असताना आरक्षनाचे राजकारण करुण तोंडाला फेस येई पर्यंत आरोप करणारे तोंडात मोगरी फसल्या सारखे गप्प आहेत... बा… ,1
deepoffense_mr_t2_train_38, मादरचोद    रांडाची औलाद आहात तुम्हीं साले गुंडे .... मी मरा… ,1
deepoffense_mr_t2_train_39, अंधभक्तांना आता त्यांच्या गोट्या दाबायचा task देणार आहे  कोरोना गायब ,1
deepoffense_mr_t2_train_40, गप्प ए खुळ्या ल   .....तू आणि तुझे गायपट्यातले लोक्स तुमची तिकडेच काशी करा.....मुंबई आणि महाराष्ट्रात फक्त ,1
deepoffense_mr_t2_train_41, भिकारचोट राजकारणानी मराठ्याचा घात केला आयुष्यात प्रथम डोळ्यात पाणी आले जबाबदारीन सांगतो हायकोर्टाचे निर्णय सुप्रिम… ,1
deepoffense_mr_t2_train_42, दलिंदर पक्ष आणि त्याचे भिकारचोट कार्यकर्ते अजूनही तुम्ही आरक्षण अन समाहितापेक्षा पक्षप्रेमाला महत्व देत असाल तर  तुम्ही… ,1
deepoffense_mr_t2_train_43, b  भाड्याची m  मादरचोद c  कॉर्पोरेशन ,1
deepoffense_mr_t2_train_44, अरे दळभद्री कुत्र्यांनो त्याचा १० वर्षे जुना फोटो पोस्ट करून त्याला इंनोसेन्ट दाखवायचा प्रयत्न करू नका..… ,1
deepoffense_mr_t2_train_45, मग महा विकास आघाडी सरकार काय गोट्या खेळत होता ला त्यांना सगळं तपास… ,1
deepoffense_mr_t2_train_46, भंगार केंद्र सरकार आनं त्यांच गटार राजकारण. झाट काय सापडतय कारण आत्महत्येत काय सापडन्यासारख नाहीच. ,1
deepoffense_mr_t2_train_47, मराठ्यांचा एक पण मत दळभद्री भाजपला जाणार नाही. ,1
deepoffense_mr_t2_train_48, दळभद्री सरकार. बट्याबोळ कारभार ,1
deepoffense_mr_t2_train_49, भाजपचं दळभद्री राजकारण. ,1
deepoffense_mr_t2_train_50, अरे भिकारचोट कुत्र्यांनो स्वतःच्या राज्यात तुम्हाला काम मिळत नाहीत कामाची भीक मागत इथे मुंबई ला ये… ,1
deepoffense_mr_t2_train_51, अतिशय दळभद्री भिकारी आघाडी सरकार  ,1
deepoffense_mr_t2_train_52, आणि त्या दक्षिण भारतातील लोकांचे विचार एकदम बावळट आहे  त्याना त्याचा स्वतंत्र्य देश पाहि… ,1
